ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	SPANISH
Heggarty-2005-150-1	1493	ONE	1	one	uno
Heggarty-2005-150-2	1498	TWO	2	two	dos
Heggarty-2005-150-3	492	THREE	3	three	tres
Heggarty-2005-150-4	1500	FOUR	4	four	cuatro
Heggarty-2005-150-5	493	FIVE	5	five	cinco
Heggarty-2005-150-6	1703	SIX	6	six	seis
Heggarty-2005-150-7	1704	SEVEN	7	seven	siete
Heggarty-2005-150-8	1705	EIGHT	8	eight	ocho
Heggarty-2005-150-9	1483	NINE	9	nine	nueve
Heggarty-2005-150-10	1515	TEN	10	ten	diez
Heggarty-2005-150-11	1226	YEAR	11	year	año
Heggarty-2005-150-12	1019	RIGHT	12	right (hand side)	derecha (mano)
Heggarty-2005-150-13	244	LEFT	13	left (hand side)	izquierda
Heggarty-2005-150-14	1131	WE (INCLUSIVE)	14	we (inclusive)	nosotros (inclusive)
Heggarty-2005-150-15	1215	THOU	15	thou (you sg.)	tú
Heggarty-2005-150-16	1240	NOT	16	not	no
Heggarty-2005-150-17	1236	WHAT	17	what?	qué?
Heggarty-2005-150-18	1235	WHO	18	who?	quién?
Heggarty-2005-150-19	1214	THIS	19	this	este
Heggarty-2005-150-20	1340	WITH	20	with	con
Heggarty-2005-150-21	1256	HEAD	21	head	cabeza
Heggarty-2005-150-22	1560	FACE	22	face	cara
Heggarty-2005-150-23	123	FOREHEAD	23	forehead	frente (la)
Heggarty-2005-150-24	2648	HAIR (HEAD)	24	hair	cabello, pelo
Heggarty-2005-150-25	1248	EYE	25	eye	ojo
Heggarty-2005-150-26	1221	NOSE	26	nose	nariz
Heggarty-2005-150-27	1247	EAR	27	ear	oreja
Heggarty-2005-150-28	674	MOUTH	28	mouth	boca
Heggarty-2005-150-29	478	LIP	29	lip	labio
Heggarty-2005-150-30	1205	TONGUE	30	tongue	lengua
Heggarty-2005-150-31	1380	TOOTH	31	tooth	diente
Heggarty-2005-150-32	1277	HAND	32	hand	mano
Heggarty-2005-150-33	981	ELBOW	33	elbow	codo
Heggarty-2005-150-34	1333	NECK	34	neck	cuello
Heggarty-2005-150-35	1291	BACK	35	back	espalda
Heggarty-2005-150-36	1301	FOOT	36	foot	pie
Heggarty-2005-150-37	1297	LEG	37	leg	pierna
Heggarty-2005-150-38	1371	KNEE	38	knee	rodilla
Heggarty-2005-150-39	946	BLOOD	39	blood	sangre
Heggarty-2005-150-40	1394	BONE	40	bone	hueso
Heggarty-2005-150-41	763	SKIN	41	skin	piel
Heggarty-2005-150-42	1258	FINGERNAIL	42	fingernail	uña
Heggarty-2005-150-43	1251	BELLY	43	belly (stomach)	barriga
Heggarty-2005-150-44	1838	NAVEL	44	navel	ombligo
Heggarty-2005-150-45	1402	BREAST	45	breast	seno
Heggarty-2005-150-46	1223	HEART	46	heart	corazón
Heggarty-2005-150-47	2009	DOG	47	dog	perro
Heggarty-2005-150-48	1312	FOX	48	fox	zorro
Heggarty-2005-150-49	1491	MOUSE	49	mouse	ratón
Heggarty-2005-150-50	937	BIRD	50	bird	pájaro
Heggarty-2005-150-51	1219	WORM	51	worm	gusano
Heggarty-2005-150-52	1392	LOUSE	52	louse	piojo
Heggarty-2005-150-53	744	EGG	53	egg	huevo
Heggarty-2005-150-54	1393	HORN (ANATOMY)	54	horn	cuerno
Heggarty-2005-150-55	1220	TAIL	55	tail	cola, rabo
Heggarty-2005-150-56	1257	WING	56	wing	ala
Heggarty-2005-150-57	683	PERSON	57	man SW person	persona, ser humano
Heggarty-2005-150-58	1554	MAN	58	man SW adult, male	varón, hombre
Heggarty-2005-150-59	962	WOMAN	59	woman	mujer
Heggarty-2005-150-60	1405	NAME	60	name	nombre
Heggarty-2005-150-61	559	BROTHER (OF MAN)	61	brother (of man) 	hermano (de varón)
Heggarty-2005-150-62	560	BROTHER (OF WOMAN)	62	brother (of woman) 	hermano (de mujer)
Heggarty-2005-150-63	561	SISTER (OF MAN)	63	sister (of man)	hermana (de varón)
Heggarty-2005-150-64	562	SISTER (OF WOMAN)	64	sister (of woman)	hermana (de mujer)
Heggarty-2005-150-67	1233	NIGHT	67	night	noche
Heggarty-2005-150-65	1200	HUSBAND	65	husband	esposo
Heggarty-2005-150-66	1225	DAY (NOT NIGHT)	66	day	día
Heggarty-2005-150-68	1343	SUN	68	sun	sol
Heggarty-2005-150-69	1313	MOON	69	moon	luna
Heggarty-2005-150-70	1430	STAR	70	star	estrella
Heggarty-2005-150-71	1388	SHADE	71	shadow	sombra
Heggarty-2005-150-72	948	WATER	72	water	agua
Heggarty-2005-150-73	666	RIVER	73	river	río
Heggarty-2005-150-74	639	MOUNTAIN	74	mountain	cerro
Heggarty-2005-150-75	221	FIRE	75	fire	fuego
Heggarty-2005-150-76	778	SMOKE (EXHAUST)	76	smoke	humo
Heggarty-2005-150-77	646	ASH	77	ash	ceniza
Heggarty-2005-150-78	857	STONE	78	stone	piedra
Heggarty-2005-150-79	671	SAND	79	sand	arena
Heggarty-2005-150-80	1369	GOLD	80	gold	oro
Heggarty-2005-150-81	2108	RAINING OR RAIN	81	rain	lluvia
Heggarty-2005-150-82	1489	CLOUD	82	cloud	nube
Heggarty-2005-150-83	960	WIND	83	wind	viento
Heggarty-2005-150-84	1368	BREAD	84	bread	pan
Heggarty-2005-150-85	2615	FLESH OR MEAT	85	meat SW flesh	carne
Heggarty-2005-150-86	1274	SALT	86	salt	sal
Heggarty-2005-150-87	323	FAT (ORGANIC SUBSTANCE)	87	fat (grease)	grasa
Heggarty-2005-150-88	714	SEED	88	seed	semilla
Heggarty-2005-150-89	906	TREE	89	tree	árbol
Heggarty-2005-150-90	670	ROOT	90	root	raíz
Heggarty-2005-150-91	1531	BRANCH	91	branch	rama
Heggarty-2005-150-92	628	LEAF	92	leaf	hoja
Heggarty-2005-150-93	606	GRASS	93	grass	hierba, pasto
Heggarty-2005-150-94	239	FLOWER	94	flower	flor
Heggarty-2005-150-95	1218	ROPE	95	rope	soga, cuerda
Heggarty-2005-150-96	667	ROAD	96	road	camino, carretera
Heggarty-2005-150-97	163	BLACK	97	black	negro
Heggarty-2005-150-98	1335	WHITE	98	white	blanco
Heggarty-2005-150-99	156	RED	99	red	rojo
Heggarty-2005-150-100	1425	GREEN	100	green	verde (color)
Heggarty-2005-150-101	1424	YELLOW	101	yellow	amarillo
Heggarty-2005-150-102	1202	BIG	102	big	grande
Heggarty-2005-150-103	1591	UP	103	high up	arriba, en alto
Heggarty-2005-150-104	1246	SMALL	104	small	pequeño
Heggarty-2005-150-105	563	YOUNG (OF WOMAN)	105	young (female)	joven (mujer)
Heggarty-2005-150-106	564	YOUNG (OF MAN)	106	young (male)	joven (varón)
Heggarty-2005-150-107	565	OLD (OF MAN)	107	old (man)	viejo (varón)
Heggarty-2005-150-108	566	OLD (OF WOMAN)	108	old (woman)	vieja (mujer)
Heggarty-2005-150-109	1847	SICK	109	be sick	estar enfermo
Heggarty-2005-150-110	1996	GET TIRED	110	tire	cansar(se)
Heggarty-2005-150-111	1198	MANY	111	many	mucho(s)!!!, harto
Heggarty-2005-150-112	1429	FULL	112	full	lleno
Heggarty-2005-150-113	1624	EMPTY	113	empty	vacío
Heggarty-2005-150-114	1210	HEAVY	114	heavy	pesado
Heggarty-2005-150-115	1052	LIGHT (WEIGHT)	115	light (not heavy)	liviano, ligero (que pesa poco)
Heggarty-2005-150-116	1406	FAR	116	far (away)	lejos
Heggarty-2005-150-117	2272	HOT OR WARM	117	warm / hot SW	caliente
Heggarty-2005-150-118	1287	COLD	118	cold	fría
Heggarty-2005-150-119	1398	DRY	119	dry	seco
Heggarty-2005-150-120	717	SWEET	120	sweet	dulce
Heggarty-2005-150-121	1495	HAPPY	121	happy (be)	feliz, alegre
Heggarty-2005-150-122	1231	NEW	122	new	nuevo
Heggarty-2005-150-123	695	GO	123	go, to	ir
Heggarty-2005-150-124	1446	COME	124	come, to	venir
Heggarty-2005-150-125	1443	WALK	125	walk, to	caminar, andar
Heggarty-2005-150-126	1442	STAND	126	stand, to	estar en pie
Heggarty-2005-150-127	1416	SIT	127	sit, to	estar sentado
Heggarty-2005-150-128	1439	SWIM	128	swim, to	nadar
Heggarty-2005-150-129	1441	FLY (MOVE THROUGH AIR)	129	fly, to	volar
Heggarty-2005-150-130	602	HIDE (CONCEAL)	130	hide, to	esconder (algo)
Heggarty-2005-150-131	1336	EAT	131	eat, to	comer
Heggarty-2005-150-132	1401	DRINK	132	drink, to	tomar, beber
Heggarty-2005-150-133	1403	BITE	133	bite, to	morder
Heggarty-2005-150-134	1421	SUCK	134	suck, to	chupar, mamar
Heggarty-2005-150-135	319	LICK	135	lick, to	lamer
Heggarty-2005-150-136	1440	SPIT	136	spit, to	escupir
Heggarty-2005-150-137	1585	SLEEP	137	sleep, to	dormir
Heggarty-2005-150-138	1422	BE ALIVE	138	live, to	vivir
Heggarty-2005-150-139	1494	DIE	139	die, to	morir
Heggarty-2005-150-140	1409	SEE	140	see, to	ver
Heggarty-2005-150-141	1408	HEAR	141	hear, to	oír
Heggarty-2005-150-142	1410	KNOW (SOMETHING)	142	know, to	saber
Heggarty-2005-150-143	1415	THINK (REFLECT)	143	think (over, about), to	pensar (cogitar)
Heggarty-2005-150-144	1623	SPEAK	144	speak, to	hablar
Heggarty-2005-150-145	1355	LAUGH	145	laugh, to	reír
Heggarty-2005-150-146	1839	CRY	146	cry, to	llorar
Heggarty-2005-150-147	1447	GIVE	147	give, to	dar
Heggarty-2005-150-148	1457	SEW	148	sew, to	coser
Heggarty-2005-150-149	353	STRIKE	149	hit, to	golpear
Heggarty-2005-150-150	1452	PUSH	150	push, to	empujar
